OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_NAME,National_Park,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018
219,838,85,Central-South Purcells,Central-South Purcells,Viable,Y,Kootenay,Cranbrook,,Y,Y,846.373067,838.4641801,8,8,9.541254044,9.541254044
220,838,85,Central-South Purcells,Central-South Purcells,Viable,Y,Kootenay,Nelson,,N,N,1433.615074,1352.646613,28,28,20.70015907,20.70015907
221,838,85,Central-South Purcells,Central-South Purcells,Viable,Y,Kootenay,Nelson,,Y,Y,2260.71335,2244.282876,30,30,13.36729908,13.36729908
222,827,42,Kettle-Granby,Kettle-\Granby,Threatened,Y,Okanagan,Kettle,,Y,Y,1322.736094,1321.568737,18,18,13.62017727,13.62017727
223,818,38,Central Monashee,Central \Monashee,Viable,Y,Kootenay,Revelstoke,,N,N,1719.250098,1697.795416,48,48,28.2719574,28.2719574
224,822,74,Central Selkirk,Central \Selkirk,Viable,Y,Kootenay,Nelson,,N,N,1408.37413,1342.215896,49,49,36.50679398,36.50679398
225,822,74,Central Selkirk,Central \Selkirk,Viable,Y,Kootenay,Nelson,,N,N,887.2642405,878.2482042,29,29,33.02027893,33.02027893
226,826,41,Valhalla,Valhalla,Viable,Y,Kootenay,Nelson,,N,N,920.4651022,919.6249268,28,28,30.44719505,30.44719505
227,826,41,Valhalla,Valhalla,Viable,Y,Kootenay,Nelson,,Y,Y,1668.454801,1620.341453,40,40,24.68615532,24.68615532
228,821,29,South Rockies,South \Rockies,Viable,Y,Kootenay,Fernie,,Y,Y,884.6506947,871.5878872,32,18,36.71459961,20.65196228
229,821,29,South Rockies,South \Rockies,Viable,Y,Kootenay,Fernie,,Y,Y,1737.918353,1723.131135,66,37,38.30236816,21.47253799
230,816,26,North Purcells,North \Purcells,Viable,Y,Kootenay,Revelstoke,Glacier National Park,Y,Y,375.4014054,299.4056028,16,16,53.4392128,53.4392128
231,812,18,North Selkirk,North \Selkirk,Viable,Y,Kootenay,Golden,,N,N,1761.284306,1399.391742,67,67,47.87794495,47.87794495
232,816,26,North Purcells,North \Purcells,Viable,Y,Kootenay,Golden,,N,N,3588.440642,3348.041564,88,88,26.28402328,26.28402328
233,809,17,Central Rockies,Central \Rockies,Viable,Y,Kootenay,Golden,,N,N,3524.437077,3181.064675,76,76,23.89137268,23.89137268
234,814,23,Rockies Park Ranges,Rockies \Park \Ranges,Viable,Y,Kootenay,Golden,Yoho-Kootenay National Park,Y,Y,1290.440038,1247.352226,22,22,17.63735962,17.63735962
235,814,23,Rockies Park Ranges,Rockies \Park \Ranges,Viable,Y,Kootenay,Fernie,Kootenay National Park,Y,Y,619.9336404,611.2872449,14,14,22.90249062,22.90249062
236,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,Kootenay,Revelstoke,,N,N,2635.2832,2363.866597,109,109,46.11089325,46.11089325
237,812,18,North Selkirk,North \Selkirk,Viable,Y,Kootenay,Revelstoke,Mount Revelstoke National Park,Y,Y,263.2151667,247.0956143,13,13,52.61121368,52.61121368
238,812,18,North Selkirk,North \Selkirk,Viable,Y,Kootenay,Revelstoke,,N,N,3615.597391,3319.434547,160,160,48.20098114,48.20098114
239,816,26,North Purcells,North \Purcells,Viable,Y,Kootenay,Revelstoke,,N,N,1933.29713,1780.738691,89,89,49.97925949,49.97925949
240,818,38,Central Monashee,Central \Monashee,Viable,Y,Okanagan,Monashee,,Y,N,720.3381585,718.6321921,14,14,19.48145485,19.48145485
