OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_NAME,National_Park,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018
91,813,36,South Chilcotin Ranges,South \Chilcotin \Ranges,Threatened,Y,Cariboo,South Chilcotin,,Y,Y,8304.003884,7728.870866,87,95,11.25649548,12.29157543
92,813,36,South Chilcotin Ranges,South \Chilcotin \Ranges,Threatened,Y,Cariboo,South Chilcotin,,Y,Y,3662.268943,3643.664586,28,31,7.684571266,8.507918358
93,820,37,Toba-Bute,Toba-\Bute,Viable,Y,Lower Mainland,South Coast,,Y,Y,1944.600669,1766.243267,15,17,8.492601395,9.624948502
94,823,40,Stein-Nahatlatch,Stein-\Nahatlatch,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,1146.034992,1087.689796,2,2,1.838759542,1.838759542
95,823,40,Stein-Nahatlatch,Stein-\Nahatlatch,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,1533.118026,1423.258056,1,1,0.702613294,0.702613294
96,823,40,Stein-Nahatlatch,Stein-\Nahatlatch,Threatened,Y,Thompson,West Fraser,,Y,Y,3076.856429,2990.537707,14,13,4.681432247,4.347044468
97,823,40,Stein-Nahatlatch,Stein-\Nahatlatch,Threatened,Y,Thompson,West Fraser,,Y,Y,2039.084776,1978.255651,7,6,3.538470984,3.032974958
98,824,39,Squamish-Lillooet,Squamish-\Lillooet,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,2763.317,2283.983396,30,23,13.13494682,10.07012558
99,828,43,North Cascades,North \Cascades,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,998.2899694,993.9036791,0,0,0,0
100,828,43,North Cascades,North \Cascades,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,979.3304429,972.454734,0,0,0,0
101,828,43,North Cascades,North \Cascades,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,1004.469213,979.7270179,0,0,0,0
102,828,43,North Cascades,North \Cascades,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,659.5944755,658.399281,0,0,0,0
103,828,43,North Cascades,North \Cascades,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,50.51343004,50.51343004,0,0,0,0
104,828,43,North Cascades,North \Cascades,Threatened,Y,Thompson,Nicola,,Y,Y,1282.235011,1281.198151,1,1,0.780519366,0.780519366
105,828,43,North Cascades,North \Cascades,Threatened,Y,Thompson,Nicola,,Y,Y,1084.226235,1083.059348,1,1,0.923310459,0.923310459
106,828,43,North Cascades,North \Cascades,Threatened,Y,Okanagan,Similkameen,,Y,Y,1614.046855,1613.853343,0,0,0,0
107,828,43,North Cascades,North \Cascades,Threatened,Y,Okanagan,Similkameen,,Y,Y,930.4312134,929.7414839,2,2,2.151135683,2.151135683
108,828,43,North Cascades,North \Cascades,Threatened,Y,Okanagan,Similkameen,,Y,Y,1200.248794,1199.923122,2,2,1.666773438,1.666773438
109,829,44,Garibaldi-Pitt,Garibaldi-\Pitt,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,1746.302446,1592.496437,1,2,0.627944887,1.255889773
110,829,44,Garibaldi-Pitt,Garibaldi-\Pitt,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,1013.108559,904.4554049,1,1,1.10563767,1.10563767
111,829,44,Garibaldi-Pitt,Garibaldi-\Pitt,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,3035.739823,2760.162574,0,0,0,0
112,829,44,Garibaldi-Pitt,Garibaldi-\Pitt,Threatened,Y,Lower Mainland,Fraser Valley,,Y,Y,797.3895985,706.6326872,0,0,0,0
113,836,6,Hart,Hart,Viable,Y,Omineca,South Peace,,N,N,4365.125525,4345.722378,38,38,8.744231224,8.744231224
114,836,6,Hart,Hart,Viable,Y,Omineca,South Peace,,N,N,6732.57737,6664.15244,59,59,8.853339195,8.853339195
115,836,6,Hart,Hart,Viable,Y,Omineca,South Peace,,N,N,4371.778412,4333.95131,79,79,18.22817039,18.22817039
116,837,68,Nulki,Nulki,Viable,Y,Omineca,Fort George,,Y,Y,2774.543501,2665.874012,7,7,2.625780582,2.625780582
117,837,68,Nulki,Nulki,Viable,Y,Omineca,Fort George,,Y,Y,2310.193828,2227.916667,6,6,2.693099022,2.693099022
118,837,68,Nulki,Nulki,Viable,Y,Omineca,Fort George,,Y,Y,1751.929925,1735.245895,4,4,2.30514884,2.30514884
119,837,68,Nulki,Nulki,Viable,Y,Omineca,Fort George,,Y,Y,5279.943827,5107.186923,13,13,2.545432568,2.545432568
120,837,68,Nulki,Nulki,Viable,Y,Omineca,Fort George,,Y,Y,1457.578375,1433.656056,4,4,2.79006958,2.79006958
121,837,68,Nulki,Nulki,Viable,Y,Omineca,Fort George,,Y,Y,1899.208269,1846.659278,5,5,2.70759201,2.70759201
122,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,Skeena,North Coast,,Y,Y,2483.286719,2306.645932,103,103,44.65357971,44.65357971
